Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
05/09/2018,EXPON0000,,4,4,0,4,4.1,3.9,4,220301,881182,49,0,0,4
06/09/2018,EXPON0000,,4,4,0,4,4,3.9,4,228197,912538,40,0,0,4
07/09/2018,EXPON0000,,4,4,0,4,4,4,4,154196,616784,54,0,0,4
10/09/2018,EXPON0000,,4,4,0,4,4,3.9,4,45091,180260,27,0,0,4
11/09/2018,EXPON0000,,4,4,0,4,4,4,4,23224,92896,9,0,0,4
12/09/2018,EXPON0000,,4,4,0,4,4,4,4,172960,691840,22,0,0,4
13/09/2018,EXPON0000,,4,4,0,4,4,3.9,4,5095,20371,19,0,0,4
14/09/2018,EXPON0000,,4,4,0,4,4,3.9,3.92,124136,486049,18,0,0,4
17/09/2018,EXPON0000,,3.9,4,-0.1,4,4,3.9,4,108292,432893,53,0,-2.5,3.9
18/09/2018,EXPON0000,,3.9,3.9,0,4,4,3.8,3.9,685154,2671705,63,0,0,3.9
19/09/2018,EXPON0000,,3.9,3.9,0,4,4,3.8,3.9,209210,815220,24,0,0,3.9
20/09/2018,EXPON0000,,3.9,3.9,0,4,4,3.9,3.91,13015,50840,11,0,0,3.9
21/09/2018,EXPON0000,,3.9,3.9,0,4,4,3.9,3.9,650737,2537900,40,0,0,3.9
25/09/2018,EXPON0000,,4,3.9,0.1,3.9,4,3.8,3.9,276238,1077228,20,50,2.56,4
26/09/2018,EXPON0000,,4,4,0,3.9,4,3.9,4,442121,1766481,33,50,0,4
27/09/2018,EXPON0000,,4,4,0,4,4,4,4,375000,1500000,10,50,0,4
28/09/2018,EXPON0000,,4,4,0,4,4,3.9,4,357511,1429544,17,50,0,4
01/10/2018,EXPON0000,,3.9,4,-0.1,4,4,3.9,3.9,101400,395510,19,33.33,-2.5,3.9
02/10/2018,EXPON0000,,3.9,3.9,0,4,4,3.9,3.9,11484686,44790485,56,33.33,0,3.9
03/10/2018,EXPON0000,,4,3.9,0.1,4,4.1,3.9,4,709000,2835900,37,50,2.56,4
04/10/2018,EXPON0000,,4,4,0,4,4,4,4,27000,108000,6,50,0,4
05/10/2018,EXPON0000,,4,4,0,4,4,4,4,133999,535996,10,50,0,4
08/10/2018,EXPON0000,,4,4,0,4,4.1,3.9,4,263100,1052490,34,66.67,0,4
09/10/2018,EXPON0000,,4,4,0,4.1,4.1,3.9,4,131953,527662,29,66.67,0,4
10/10/2018,EXPON0000,,4,4,0,4.1,4.1,3.9,4,61422,245627,9,66.67,0,4
11/10/2018,EXPON0000,,3.9,4,-0.1,4.1,4.1,3.9,4,109276,437475,14,50,-2.5,3.9
12/10/2018,EXPON0000,,3.9,3.9,0,4,4,3.9,3.9,4272772,16663913,57,50,0,3.9
15/10/2018,EXPON0000,,3.9,3.9,0,3.9,4,3.9,3.9,311129,1214003,35,33.33,0,3.9
16/10/2018,EXPON0000,,3.9,3.9,0,3.9,4,3.8,3.9,115504,449925,27,33.33,0,3.9
17/10/2018,EXPON0000,,4,3.9,0.1,4,4,3.9,3.94,13623,53731,10,50,2.56,4
18/10/2018,EXPON0000,,3.9,4,-0.1,3.9,4,3.9,3.9,72998,284697,25,39.89,-2.5,3.9
19/10/2018,EXPON0000,,3.9,3.9,0,4,4,3.9,3.9,440160,1716746,73,50,0,3.9
22/10/2018,EXPON0000,,3.9,3.9,0,3.9,4,3.8,3.9,32187,125508,16,50,0,3.9
23/10/2018,EXPON0000,,3.9,3.9,0,3.9,4,3.8,3.89,20646,80240,34,33.33,0,3.9
25/10/2018,EXPON0000,,3.9,3.9,0,4,4,3.9,3.9,127284,496508,152,33.33,0,3.9
26/10/2018,EXPON0000,,4,3.9,0.1,3.9,4,3.9,3.9,66250,258699,383,50,2.56,4
29/10/2018,EXPON0000,,4,4,0,4.1,4.1,3.9,4.05,688314,2790917,85,50,0,4
30/10/2018,EXPON0000,,4,4,0,4.1,4.2,3.9,4.01,1352870,5429323,75,50,0,4
31/10/2018,EXPON0000,,4,4,0,4,4.1,3.9,4,1228694,4915817,49,50,0,4
01/11/2018,EXPON0000,,4.1,4,0.1,4,4.2,4,4.1,6936939,28437939,149,75.09,2.5,4.1
02/11/2018,EXPON0000,,4.1,4.1,0,4.2,4.2,4,4.09,408378,1671340,34,75.09,0,4.1
05/11/2018,EXPON0000,,4,4.1,-0.1,4.2,4.2,4,4,217876,871717,26,60.11,-2.43,4
07/11/2018,EXPON0000,,4,4,0,4.1,4.1,4,4,24922,99718,15,60.11,0,4
08/11/2018,EXPON0000,,3.9,4,-0.1,4,4,3.9,3.96,169276,670337,25,39.89,-2.5,3.9
09/11/2018,EXPON0000,,4.1,3.9,0.2,4,4.2,4,4.09,790864,3232306,72,66.74,5.12,4.1
12/11/2018,EXPON0000,,4.1,4.1,0,4.1,4.2,4,4.1,340503,1397017,40,66.74,0,4.1
13/11/2018,EXPON0000,,4.1,4.1,0,4.2,4.2,4,4.1,247457,1014564,15,66.74,0,4.1
14/11/2018,EXPON0000,,4,4.1,-0.1,4,4.1,4,4,288106,1152434,32,57.11,-2.43,4
15/11/2018,EXPON0000,,4,4,0,4.1,4.1,3.9,4,17941,71749,16,57.11,0,4
16/11/2018,EXPON0000,,4,4,0,3.9,4.1,3.9,4,204040,816220,18,50,0,4
19/11/2018,EXPON0000,,4.1,4,0.1,4,4.1,4,4,12150,48615,7,57.11,2.5,4.1
21/11/2018,EXPON0000,,4,4.1,-0.1,4.1,4.1,4,4.02,12503,50262,6,50,-2.43,4
23/11/2018,EXPON0000,,4,4,0,4.1,4.1,4,4,2024097,8096723,26,50,0,4
26/11/2018,EXPON0000,,4,4,0,4.1,4.1,4,4,88402,353608,5,42.89,0,4
27/11/2018,EXPON0000,,4.1,4,0.1,4.1,4.2,4,4.1,161762,663214,25,50,2.5,4.1
28/11/2018,EXPON0000,,4,4.1,-0.1,4.2,4.2,4,4,931482,3726077,87,50,-2.43,4
29/11/2018,EXPON0000,,4,4,0,4,4.1,4,4,274085,1096363,20,50,0,4
30/11/2018,EXPON0000,,4,4,0,4.1,4.1,4,4.02,9775,39303,11,57.11,0,4
03/12/2018,EXPON0000,,4,4,0,4.1,4.1,3.9,4,116704,466292,18,39.89,0,4
04/12/2018,EXPON0000,,4.1,4,0.1,4,4.1,4,4.02,54910,220901,13,50,2.5,4.1
05/12/2018,EXPON0000,,4,4.1,-0.1,4,4.1,4,4,63453,254027,16,42.89,-2.43,4
06/12/2018,EXPON0000,,4.1,4,0.1,4.1,4.2,4,4.1,13628,55875,12,57.11,2.5,4.1
07/12/2018,EXPON0000,,4.2,4.1,0.1,4.2,4.2,4.1,4.14,20086,83103,19,62.52,2.43,4.2
