,driver,points,driverID,race,race_country
20,Nikita Mazepin,0,mazepin,16,Turkey
0,Max Verstappen,287.5,max_verstappen,17,United States
1,Lewis Hamilton,275.5,hamilton,17,United States
2,Valtteri Bottas,185,bottas,17,United States
3,Sergio Pérez,150,perez,17,United States
4,Lando Norris,149,norris,17,United States
5,Charles Leclerc,128,leclerc,17,United States
6,Carlos Sainz,122.5,sainz,17,United States
7,Daniel Ricciardo,105,ricciardo,17,United States
8,Pierre Gasly,74,gasly,17,United States
9,Fernando Alonso,58,alonso,17,United States
10,Esteban Ocon,46,ocon,17,United States
11,Sebastian Vettel,36,vettel,17,United States
12,Lance Stroll,26,stroll,17,United States
13,Yuki Tsunoda,20,tsunoda,17,United States
14,George Russell,16,russell,17,United States
15,Nicholas Latifi,7,latifi,17,United States
16,Kimi Räikkönen,6,raikkonen,17,United States
17,Antonio Giovinazzi,1,giovinazzi,17,United States
18,Mick Schumacher,0,mick_schumacher,17,United States
19,Robert Kubica,0,kubica,17,United States
20,Nikita Mazepin,0,mazepin,17,United States
0,Max Verstappen,312.5,max_verstappen,18,Mexico
1,Lewis Hamilton,293.5,hamilton,18,Mexico
2,Valtteri Bottas,185,bottas,18,Mexico
3,Sergio Pérez,165,perez,18,Mexico
4,Lando Norris,150,norris,18,Mexico
5,Charles Leclerc,138,leclerc,18,Mexico
6,Carlos Sainz,130.5,sainz,18,Mexico
7,Daniel Ricciardo,105,ricciardo,18,Mexico
8,Pierre Gasly,86,gasly,18,Mexico
9,Fernando Alonso,60,alonso,18,Mexico
10,Esteban Ocon,46,ocon,18,Mexico
11,Sebastian Vettel,42,vettel,18,Mexico
12,Lance Stroll,26,stroll,18,Mexico
13,Yuki Tsunoda,20,tsunoda,18,Mexico
14,George Russell,16,russell,18,Mexico
15,Kimi Räikkönen,10,raikkonen,18,Mexico
16,Nicholas Latifi,7,latifi,18,Mexico
17,Antonio Giovinazzi,1,giovinazzi,18,Mexico
18,Mick Schumacher,0,mick_schumacher,18,Mexico
19,Robert Kubica,0,kubica,18,Mexico
20,Nikita Mazepin,0,mazepin,18,Mexico
0,Max Verstappen,332.5,max_verstappen,19,Brazil
1,Lewis Hamilton,318.5,hamilton,19,Brazil
2,Valtteri Bottas,203,bottas,19,Brazil
3,Sergio Pérez,178,perez,19,Brazil
4,Lando Norris,151,norris,19,Brazil
5,Charles Leclerc,148,leclerc,19,Brazil
6,Carlos Sainz,139.5,sainz,19,Brazil
7,Daniel Ricciardo,105,ricciardo,19,Brazil
8,Pierre Gasly,92,gasly,19,Brazil
9,Fernando Alonso,62,alonso,19,Brazil
10,Esteban Ocon,50,ocon,19,Brazil
11,Sebastian Vettel,42,vettel,19,Brazil
12,Lance Stroll,26,stroll,19,Brazil
13,Yuki Tsunoda,20,tsunoda,19,Brazil
14,George Russell,16,russell,19,Brazil
15,Kimi Räikkönen,10,raikkonen,19,Brazil
16,Nicholas Latifi,7,latifi,19,Brazil
17,Antonio Giovinazzi,1,giovinazzi,19,Brazil
18,Mick Schumacher,0,mick_schumacher,19,Brazil
19,Robert Kubica,0,kubica,19,Brazil
20,Nikita Mazepin,0,mazepin,19,Brazil
0,Max Verstappen,351.5,max_verstappen,20,Qatar
1,Lewis Hamilton,343.5,hamilton,20,Qatar
2,Valtteri Bottas,203,bottas,20,Qatar
3,Sergio Pérez,190,perez,20,Qatar
4,Lando Norris,153,norris,20,Qatar
5,Charles Leclerc,152,leclerc,20,Qatar
6,Carlos Sainz,145.5,sainz,20,Qatar
7,Daniel Ricciardo,105,ricciardo,20,Qatar
8,Pierre Gasly,92,gasly,20,Qatar
9,Fernando Alonso,77,alonso,20,Qatar
10,Esteban Ocon,60,ocon,20,Qatar
11,Sebastian Vettel,43,vettel,20,Qatar
12,Lance Stroll,34,stroll,20,Qatar
13,Yuki Tsunoda,20,tsunoda,20,Qatar
14,George Russell,16,russell,20,Qatar
15,Kimi Räikkönen,10,raikkonen,20,Qatar
16,Nicholas Latifi,7,latifi,20,Qatar
17,Antonio Giovinazzi,1,giovinazzi,20,Qatar
18,Mick Schumacher,0,mick_schumacher,20,Qatar
19,Robert Kubica,0,kubica,20,Qatar
20,Nikita Mazepin,0,mazepin,20,Qatar
0,Max Verstappen,369.5,max_verstappen,21,Saudi Arabia
1,Lewis Hamilton,369.5,hamilton,21,Saudi Arabia
2,Valtteri Bottas,218,bottas,21,Saudi Arabia
3,Sergio Pérez,190,perez,21,Saudi Arabia
4,Charles Leclerc,158,leclerc,21,Saudi Arabia
5,Lando Norris,154,norris,21,Saudi Arabia
6,Carlos Sainz,149.5,sainz,21,Saudi Arabia
7,Daniel Ricciardo,115,ricciardo,21,Saudi Arabia
8,Pierre Gasly,100,gasly,21,Saudi Arabia
9,Fernando Alonso,77,alonso,21,Saudi Arabia
10,Esteban Ocon,72,ocon,21,Saudi Arabia
11,Sebastian Vettel,43,vettel,21,Saudi Arabia
12,Lance Stroll,34,stroll,21,Saudi Arabia
13,Yuki Tsunoda,20,tsunoda,21,Saudi Arabia
14,George Russell,16,russell,21,Saudi Arabia
15,Kimi Räikkönen,10,raikkonen,21,Saudi Arabia
16,Nicholas Latifi,7,latifi,21,Saudi Arabia
17,Antonio Giovinazzi,3,giovinazzi,21,Saudi Arabia
18,Mick Schumacher,0,mick_schumacher,21,Saudi Arabia
19,Robert Kubica,0,kubica,21,Saudi Arabia
20,Nikita Mazepin,0,mazepin,21,Saudi Arabia
