,driverID,race,qualipos,racepos
1353,resta,19,13,19
1354,ricciardo,19,18,13
1355,rosa,19,23,17
1356,rosberg,19,17,15
1357,vergne,19,14,8
1358,vettel,19,1,6
1359,webber,19,3,4
1360,alonso,20,8,2
1361,bruno_senna,20,12,23
1362,button,20,2,1
1363,glock,20,21,16
1364,grosjean,20,18,21
1365,hamilton,20,1,20
1366,hulkenberg,20,7,5
1367,karthikeyan,20,23,18
1368,kobayashi,20,15,9
1369,kovalainen,20,20,14
1370,maldonado,20,6,22
1371,massa,20,5,3
1372,michael_schumacher,20,14,7
1373,perez,20,13,24
1374,petrov,20,19,11
1375,pic,20,22,12
1376,raikkonen,20,9,10
1377,resta,20,11,19
1378,ricciardo,20,16,13
1379,rosa,20,24,17
1380,rosberg,20,10,15
1381,vergne,20,17,8
1382,vettel,20,4,6
1383,webber,20,3,4
1384,alonso,1,5,3
1385,bottas,1,16,21
1386,button,1,10,4
1387,chilton,1,20,19
1388,garde,1,21,18
1389,grosjean,1,8,22
1390,gutierrez,1,18,12
1391,hamilton,1,3,9
1392,hulkenberg,1,11,8
1393,jules_bianchi,1,19,17
1394,maldonado,1,17,16
1395,massa,1,4,7
1396,perez,1,15,6
1397,pic,1,22,20
1399,resta,1,9,11
1400,ricciardo,1,14,10
1401,rosberg,1,6,5
1402,sutil,1,12,13
1403,vergne,1,13,15
1404,vettel,1,1,1
1405,webber,1,2,2
1406,alonso,2,3,3
1407,bottas,2,18,21
1408,button,2,8,4
1409,chilton,2,21,19
1410,garde,2,22,18
1411,grosjean,2,11,22
1412,gutierrez,2,14,12
1413,hamilton,2,4,9
1414,hulkenberg,2,12,8
1415,jules_bianchi,2,19,17
1416,maldonado,2,16,16
1417,massa,2,2,7
1418,perez,2,10,6
1419,pic,2,20,20
1421,resta,2,15,11
1422,ricciardo,2,13,10
1423,rosberg,2,6,5
1424,sutil,2,9,13
1425,vergne,2,17,15
1426,vettel,2,1,1
1427,webber,2,5,2
1428,alonso,3,3,3
1429,bottas,3,17,21
1430,button,3,8,4
1431,chilton,3,20,19
1432,garde,3,22,18
1433,grosjean,3,6,22
1434,gutierrez,3,18,12
1435,hamilton,3,1,9
1436,hulkenberg,3,10,8
1437,jules_bianchi,3,19,17
